# commit: 071ee670109eecee3fde0862813132b404b6426a
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"induction_window_weeks","maintenance_cap","lambda_usd_per_qaly","h_per_year","pi_cure","price_star_usd_per_course"
4,"on",50000,0.1,0.66,47463.5574411587
4,"on",50000,0.1,0.67,48208.8958909449
4,"on",50000,0.1,0.68,48954.2343407307
4,"on",50000,0.1,0.69,49699.5727905256
4,"on",50000,0.1,0.7,50444.9112403148
4,"on",50000,0.1,0.71,51190.2496901012
4,"on",50000,0.1,0.72,51935.5881398922
4,"on",50000,0.1,0.73,52680.9265896761
4,"on",50000,0.1,0.74,53426.2650394717
4,"on",50000,0.1,0.75,54171.6034892625
4,"on",50000,0.1,0.76,54916.9419390507
4,"on",50000,0.1,0.77,55662.2803888401
4,"on",50000,0.1,0.78,56407.6188386284
4,"on",50000,0.1,0.79,57152.9572884176
4,"on",50000,0.1,0.8,57898.2957382075
4,"on",50000,0.1,0.81,58643.6341879916
4,"on",50000,0.1,0.82,59388.9726377927
4,"on",50000,0.1,0.83,60134.3110875773
4,"on",50000,0.1,0.84,60879.6495373658
4,"on",50000,0.1,0.85,61624.9879871545
4,"on",50000,0.1,0.86,62370.3264369431
4,"on",50000,0.1,0.87,63115.664886732
4,"on",50000,0.1,0.88,63861.0033365226
4,"on",50000,0.1,0.89,64606.3417863145
4,"on",50000,0.1,0.9,65351.6802361002
4,"on",50000,0.1,0.91,66097.0186858875
4,"on",50000,0.1,0.92,66842.3571356811
4,"on",50000,0.1,0.93,67587.6955854677
4,"on",50000,0.1,0.94,68333.0340352559
4,"on",50000,0.1,0.95,69078.3724850497
4,"on",50000,0.1,0.96,69823.7109348344
4,"on",50000,0.1,0.97,70569.0493846267
4,"on",50000,0.1,0.98,71314.3878344182
4,"on",50000,0.1,0.99,72059.7262842093
4,"on",50000,0.1,1,72805.0647339973
4,"on",1e+05,0,0,-2671.08082138491
4,"on",1e+05,0,0.01,822.557804231765
4,"on",1e+05,0,0.02,4316.19642983703
4,"on",1e+05,0,0.03,7809.83505544462
4,"on",1e+05,0,0.04,11303.4736810576
4,"on",1e+05,0,0.05,14797.112306677
4,"on",1e+05,0,0.06,18290.7509322823
4,"on",1e+05,0,0.07,21784.3895578929
4,"on",1e+05,0,0.08,25278.0281835031
4,"on",1e+05,0,0.09,28771.6668091163
4,"on",1e+05,0,0.1,32265.3054347301
4,"on",1e+05,0,0.11,35758.9440603445
4,"on",1e+05,0,0.12,39252.5826859565
4,"on",1e+05,0,0.13,42746.2213115604
4,"on",1e+05,0,0.14,46239.8599371761
4,"on",1e+05,0,0.15,49733.4985627842
4,"on",1e+05,0,0.16,53227.1371883983
