# commit: a97e75530ae93c0683ff5c53496ee5df0a088578
# spec_sha256: a85c11b0f32710be93f7ffc049a0cf15d689ac7bef6e9d8aaeaebf2be8c981b7
"leg","maintenance_cap","induction_window_weeks","h_per_year","pi_cure","lambda_usd_per_qaly","price_source","price_usd_per_course","arrangement","installment_length_years","installment_financing_rate_per_year","rebate_share","outcome_observation_years","reporting_horizon","reporting_horizon_years","discounted","route_model_usd","route_independent_usd","agreement_usd","route_model_share","route_independent_share","agreement_share","timing_gap_closed_share"
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,TRUE,279121592.633598,279121592.633598,5.96046447753906e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,TRUE,1.9073486328125e-06,0,1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,TRUE,547534958.026518,547534958.026516,1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,TRUE,1.9073486328125e-06,0,1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,TRUE,279121592.633598,279121592.633598,5.96046447753906e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,FALSE,1616592812.39973,1616592812.39973,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,FALSE,1641200000,1641200000,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,FALSE,1347356756.93164,1347356756.93164,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,FALSE,1367666666.66667,1367666666.66667,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,FALSE,3545056874.39836,3545056874.39836,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,FALSE,3692700000,3692700000,-4.76837158203125e-07,NA,NA,NA,NA
