# commit: 4a95e874c3b92973d5ed4577bb8cebe7d09f8123
# spec_sha256: 7377ef3cb2949720c28e3ecdd800621e5460ca5e300d5f815f68374800f993b4
"scenario_id","scenario_group_id","uptake_shape","uptake_ramp_period_years","uptake_logistic_steepness_per_year","maintenance_cap","induction_window_weeks","price_source","price_usd_per_course","pi_cure","h_per_year","lambda_usd_per_qaly","terminal_uptake_share","assumed_eligible_population_patients","reporting_horizon","reporting_horizon_years","horizon_class","is_base_case_horizon","discounted","discounting_base_case","patients_newly_treated_first_year_patients","patients_ever_treated_patients","final_year_net_budget_impact_usd_per_year","final_year_net_budget_impact_usd_pmpm","cumulative_net_budget_impact_usd","offset_captured_share","required_cure_fraction_all_treated"
"s8-imm-capon-h00-pi025-pstar-u100-n100000-3yr-disc","capon-h00-pi025-pstar-u100-n100000-3yr-disc","immediate_full_uptake",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,1e+05,1e+05,-104641409.46,-8.72,8118768278.81,0.126113,0.25
"s8-lin-capon-h00-pi025-analog-u025-n100000-3yr-disc","capon-h00-pi025-analog-u025-n100000-3yr-disc","linear_ramp",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,5000,15000,1914325782.54,159.53,5935476548.12,0.126113,1.175122
"s8-lin-capon-h00-pi025-analog-u100-n100000-3yr-disc","capon-h00-pi025-analog-u100-n100000-3yr-disc","linear_ramp",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,20000,60000,7657303130.15,638.11,23741906192.5,0.126113,1.175122
"s8-log-capon-h00-pi025-analog-u025-n100000-3yr-disc","capon-h00-pi025-analog-u025-n100000-3yr-disc","logistic",5,1,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,3140.67544054163,16109.032563919,2769900622.75,230.83,6331468718.62,0.126113,1.175122
"s8-log-capon-h00-pi025-analog-u100-n100000-3yr-disc","capon-h00-pi025-analog-u100-n100000-3yr-disc","logistic",5,1,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,12562.7017621665,64436.1302556758,11079602491,923.3,25325874874.49,0.126113,1.175122
"s8-imm-capon-h00-pi025-analog-u025-n100000-3yr-disc","capon-h00-pi025-analog-u025-n100000-3yr-disc","immediate_full_uptake",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,25000,25000,-26160352.37,-2.18,10157233393.11,0.126113,1.175122
"s8-imm-capon-h00-pi025-analog-u100-n100000-3yr-disc","capon-h00-pi025-analog-u100-n100000-3yr-disc","immediate_full_uptake",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,1e+05,1e+05,-104641409.46,-8.72,40628933572.43,0.126113,1.175122
"s8-lin-capon-h00-pi025-pstar-u025-n100000-3yr-nom","capon-h00-pi025-pstar-u025-n100000-3yr-nom","linear_ramp",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,5000,15000,405174343.8,33.76,1234474700.02,NA,0.25
"s8-lin-capon-h00-pi025-pstar-u100-n100000-3yr-nom","capon-h00-pi025-pstar-u100-n100000-3yr-nom","linear_ramp",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,20000,60000,1620697375.21,135.06,4937898800.09,NA,0.25
"s8-log-capon-h00-pi025-pstar-u025-n100000-3yr-nom","capon-h00-pi025-pstar-u025-n100000-3yr-nom","logistic",5,1,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,3140.67544054163,16109.032563919,591767146.53,49.31,1331095491.58,NA,0.25
