# commit: 883a7a569a4b36623c3a0509d38be664e899c028
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"maintenance_cap","induction_window_weeks","pi_cure","h_per_year","price_source","price_usd_per_course","reporting_horizon","reporting_horizon_years","bia_route_usd","frontier_route_usd","agreement_usd"
"on",8,1,0.1,"observed_analog_list_price",410300,"30yr",30,371035.806935893,NA,NA
"on",8,1,0.1,"observed_analog_list_price",410300,"40yr",40,370607.673122059,NA,NA
"on",8,1,0.1,"observed_analog_list_price",410300,"lifetime",65,370543.075560746,370543.075560746,-2.91038304567337e-10
"off",8,0.25,0,"frontier_P_star",84653.9785700128,"3yr",3,80540.7291238942,NA,NA
"off",8,0.25,0,"frontier_P_star",84653.9785700128,"30yr",30,58935.4126509605,NA,NA
"off",8,0.25,0,"frontier_P_star",84653.9785700128,"40yr",40,55223.7778544593,NA,NA
"off",8,0.25,0,"frontier_P_star",84653.9785700128,"lifetime",65,52394.7948068834,52394.7948068832,2.40106601268053e-10
"off",8,0.25,0,"observed_analog_list_price",410300,"3yr",3,406186.750553881,NA,NA
"off",8,0.25,0,"observed_analog_list_price",410300,"30yr",30,384581.434080948,NA,NA
"off",8,0.25,0,"observed_analog_list_price",410300,"40yr",40,380869.799284447,NA,NA
"off",8,0.25,0,"observed_analog_list_price",410300,"lifetime",65,378040.816236871,378040.81623687,2.91038304567337e-10
"off",8,0.5,0,"frontier_P_star",171978.337128116,"3yr",3,163029.929697495,NA,NA
"off",8,0.5,0,"frontier_P_star",171978.337128116,"30yr",30,119786.177332292,NA,NA
"off",8,0.5,0,"frontier_P_star",171978.337128116,"40yr",40,112357.186556646,NA,NA
"off",8,0.5,0,"frontier_P_star",171978.337128116,"lifetime",65,106693.412199178,106693.412199178,8.73114913702011e-11
"off",8,0.5,0,"observed_analog_list_price",410300,"3yr",3,401351.592569379,NA,NA
"off",8,0.5,0,"observed_analog_list_price",410300,"30yr",30,358107.840204176,NA,NA
"off",8,0.5,0,"observed_analog_list_price",410300,"40yr",40,350678.84942853,NA,NA
"off",8,0.5,0,"observed_analog_list_price",410300,"lifetime",65,345015.075071062,345015.075071062,1.16415321826935e-10
"off",8,0.75,0,"frontier_P_star",259302.695686222,"3yr",3,245519.130271099,NA,NA
"off",8,0.75,0,"frontier_P_star",259302.695686222,"30yr",30,180636.942013626,NA,NA
"off",8,0.75,0,"frontier_P_star",259302.695686222,"40yr",40,169490.595258835,NA,NA
"off",8,0.75,0,"frontier_P_star",259302.695686222,"lifetime",65,160992.029591475,160992.029591475,5.23868948221207e-10
"off",8,0.75,0,"observed_analog_list_price",410300,"3yr",3,396516.434584877,NA,NA
"off",8,0.75,0,"observed_analog_list_price",410300,"30yr",30,331634.246327404,NA,NA
"off",8,0.75,0,"observed_analog_list_price",410300,"40yr",40,320487.899572613,NA,NA
"off",8,0.75,0,"observed_analog_list_price",410300,"lifetime",65,311989.333905253,311989.333905253,5.82076609134674e-10
"off",8,1,0,"frontier_P_star",346627.054244329,"3yr",3,328008.330844703,NA,NA
"off",8,1,0,"frontier_P_star",346627.054244329,"30yr",30,241487.706694961,NA,NA
"off",8,1,0,"frontier_P_star",346627.054244329,"40yr",40,226624.003961025,NA,NA
"off",8,1,0,"frontier_P_star",346627.054244329,"lifetime",65,215290.646983773,215290.646983773,5.23868948221207e-10
"off",8,1,0,"observed_analog_list_price",410300,"3yr",3,391681.276600374,NA,NA
"off",8,1,0,"observed_analog_list_price",410300,"30yr",30,305160.652450632,NA,NA
"off",8,1,0,"observed_analog_list_price",410300,"40yr",40,290296.949716696,NA,NA
"off",8,1,0,"observed_analog_list_price",410300,"lifetime",65,278963.592739444,278963.592739444,5.23868948221207e-10
"off",8,0.25,0.05,"frontier_P_star",40112.8181964764,"3yr",3,36364.0595037182,NA,NA
"off",8,0.25,0.05,"frontier_P_star",40112.8181964764,"30yr",30,25629.2141833006,NA,NA
"off",8,0.25,0.05,"frontier_P_star",40112.8181964764,"40yr",40,25019.4165813015,NA,NA
"off",8,0.25,0.05,"frontier_P_star",40112.8181964764,"lifetime",65,24775.8318900529,24775.8318900525,4.32919478043914e-10
"off",8,0.25,0.05,"observed_analog_list_price",410300,"3yr",3,406551.241307242,NA,NA
"off",8,0.25,0.05,"observed_analog_list_price",410300,"30yr",30,395816.395986824,NA,NA
"off",8,0.25,0.05,"observed_analog_list_price",410300,"40yr",40,395206.598384825,NA,NA
"off",8,0.25,0.05,"observed_analog_list_price",410300,"lifetime",65,394963.013693577,394963.013693576,4.65661287307739e-10
"off",8,0.5,0.05,"frontier_P_star",82896.0163810658,"3yr",3,74676.5904571656,NA,NA
"off",8,0.5,0.05,"frontier_P_star",82896.0163810658,"30yr",30,53173.7803969945,NA,NA
"off",8,0.5,0.05,"frontier_P_star",82896.0163810658,"40yr",40,51948.4640103527,NA,NA
"off",8,0.5,0.05,"frontier_P_star",82896.0163810658,"lifetime",65,51455.4863655395,51455.4863655389,5.67524693906307e-10
"off",8,0.5,0.05,"observed_analog_list_price",410300,"3yr",3,402080.5740761,NA,NA
"off",8,0.5,0.05,"observed_analog_list_price",410300,"30yr",30,380577.764015929,NA,NA
"off",8,0.5,0.05,"observed_analog_list_price",410300,"40yr",40,379352.447629287,NA,NA
"off",8,0.5,0.05,"observed_analog_list_price",410300,"lifetime",65,378859.469984474,378859.469984473,5.82076609134674e-10
"off",8,0.75,0.05,"frontier_P_star",125679.214565654,"3yr",3,112989.121410612,NA,NA
"off",8,0.75,0.05,"frontier_P_star",125679.214565654,"30yr",30,80718.3466106873,NA,NA
"off",8,0.75,0.05,"frontier_P_star",125679.214565654,"40yr",40,78877.5114394026,NA,NA
"off",8,0.75,0.05,"frontier_P_star",125679.214565654,"lifetime",65,78135.1408410248,78135.1408410245,3.63797880709171e-10
"off",8,0.75,0.05,"observed_analog_list_price",410300,"3yr",3,397609.906844958,NA,NA
"off",8,0.75,0.05,"observed_analog_list_price",410300,"30yr",30,365339.132045033,NA,NA
"off",8,0.75,0.05,"observed_analog_list_price",410300,"40yr",40,363498.296873749,NA,NA
"off",8,0.75,0.05,"observed_analog_list_price",410300,"lifetime",65,362755.926275371,362755.92627537,4.65661287307739e-10
"off",8,1,0.05,"frontier_P_star",168462.412750245,"3yr",3,151301.652364061,NA,NA
"off",8,1,0.05,"frontier_P_star",168462.412750245,"30yr",30,108262.912824383,NA,NA
"off",8,1,0.05,"frontier_P_star",168462.412750245,"40yr",40,105806.558868455,NA,NA
"off",8,1,0.05,"frontier_P_star",168462.412750245,"lifetime",65,104814.795316513,104814.795316513,4.80213202536106e-10
"off",8,1,0.05,"observed_analog_list_price",410300,"3yr",3,393139.239613816,NA,NA
"off",8,1,0.05,"observed_analog_list_price",410300,"30yr",30,350100.500074138,NA,NA
"off",8,1,0.05,"observed_analog_list_price",410300,"40yr",40,347644.14611821,NA,NA
"off",8,1,0.05,"observed_analog_list_price",410300,"lifetime",65,346652.382566268,346652.382566268,5.23868948221207e-10
"off",8,0.25,0.1,"frontier_P_star",24537.2513263479,"3yr",3,21117.5691068435,NA,NA
"off",8,0.25,0.1,"frontier_P_star",24537.2513263479,"30yr",30,15154.327084735,NA,NA
"off",8,0.25,0.1,"frontier_P_star",24537.2513263479,"40yr",40,15063.9902437682,NA,NA
"off",8,0.25,0.1,"frontier_P_star",24537.2513263479,"lifetime",65,15055.4399201347,15055.4399201341,6.78483047522604e-10
"off",8,0.25,0.1,"observed_analog_list_price",410300,"3yr",3,406880.317780496,NA,NA
"off",8,0.25,0.1,"observed_analog_list_price",410300,"30yr",30,400917.075758387,NA,NA
"off",8,0.25,0.1,"observed_analog_list_price",410300,"40yr",40,400826.73891742,NA,NA
"off",8,0.25,0.1,"observed_analog_list_price",410300,"lifetime",65,400818.188593787,400818.188593786,6.98491930961609e-10
"off",8,0.5,0.1,"frontier_P_star",51744.8826407786,"3yr",3,44183.6096633861,NA,NA
"off",8,0.5,0.1,"frontier_P_star",51744.8826407786,"30yr",30,32224.0061998331,NA,NA
"off",8,0.5,0.1,"frontier_P_star",51744.8826407786,"40yr",40,32037.6113352559,NA,NA
"off",8,0.5,0.1,"frontier_P_star",51744.8826407786,"lifetime",65,32014.7024256729,32014.7024256728,1.0550138540566e-10
"off",8,0.5,0.1,"observed_analog_list_price",410300,"3yr",3,402738.727022608,NA,NA
"off",8,0.5,0.1,"observed_analog_list_price",410300,"30yr",30,390779.123559055,NA,NA
"off",8,0.5,0.1,"observed_analog_list_price",410300,"40yr",40,390592.728694477,NA,NA
"off",8,0.5,0.1,"observed_analog_list_price",410300,"lifetime",65,390569.819784894,390569.819784894,1.74622982740402e-10
"off",8,0.75,0.1,"frontier_P_star",78952.5139552299,"3yr",3,67249.6502199493,NA,NA
"off",8,0.75,0.1,"frontier_P_star",78952.5139552299,"30yr",30,49293.6853149518,NA,NA
"off",8,0.75,0.1,"frontier_P_star",78952.5139552299,"40yr",40,49011.2324267641,NA,NA
"off",8,0.75,0.1,"frontier_P_star",78952.5139552299,"lifetime",65,48973.9649312315,48973.9649312311,4.00177668780088e-10
"off",8,0.75,0.1,"observed_analog_list_price",410300,"3yr",3,398597.136264719,NA,NA
